dataset_id,noise_level,consensus_score,distance_threshold,outlier_threshold,seed
0,1,0.11112253824715623,0.05,0.75,0
1,1,0.2515158550722849,0.03,0.75,0
2,1,0.3040976001496518,0.04,0.7,0
3,1,0.14006059714771335,0.05,0.75,0
4,1,0.28628326330532206,0.05,0.65,1
5,1,0.2375557104723771,0.04,0.7,0
6,1,0.2691849038387193,0.04,0.75,1
7,1,0.18354940003576936,0.04,0.75,1
8,1,0.27054180180651466,0.04,0.7,1
9,1,0.20483532709867414,0.04,0.75,0
10,1,0.31866037980868245,0.03,0.75,1
11,1,0.33344097359358993,0.04,0.7,0
12,1,0.239805674295547,0.05,0.7,1
13,1,0.22074309211798537,0.05,0.7,1
14,1,0.33869401927437637,0.05,0.65,0
15,1,0.23755101145865798,0.05,0.7,0
16,1,0.2075933434875341,0.04,0.75,0
17,1,0.21168627117182992,0.05,0.7,0
18,1,0.22798964218455742,0.05,0.7,0
19,1,0.3411148847308305,0.04,0.7,1
20,1,0.17170475709488087,0.05,0.75,1
21,1,0.20670621648882515,0.05,0.7,1
22,1,0.21862116641528406,0.03,0.75,1
23,1,0.3520479020029399,0.04,0.7,0
24,1,0.1705973266003995,0.05,0.65,1
25,1,0.13881960219978795,0.05,0.75,0
26,1,0.17628724015710318,0.04,0.7,0
27,1,0.281502047503869,0.04,0.7,0
28,1,0.19445896237581883,0.03,0.75,0
29,1,0.297824881466501,0.04,0.7,0
