dataset_id,noise_level,consensus_score,pattern,distance_threshold,outlier_threshold,seed
0,1,0.9434523809523809,col_const,0.05,0.7,1
1,1,0.9434523809523809,col_const,0.05,0.7,0
2,1,0.9308035714285714,col_const,0.04,0.75,1
3,1,0.9665178571428572,col_const,0.04,0.75,0
4,1,0.9821428571428572,col_const,0.05,0.7,0
0,1,0.96875,row_const,0.03,0.75,1
1,1,0.9122023809523809,row_const,0.03,0.75,0
2,1,0.9278273809523809,row_const,0.05,0.7,1
3,1,0.9479166666666667,row_const,0.04,0.7,0
4,1,0.875,row_const,0.04,0.7,1
0,1,0.008198924731182777,scale,0.05,0.75,0
1,1,0.007442381562099865,scale,0.04,0.75,0
2,1,0.006578947368421018,scale,0.04,0.65,1
3,1,0.0371624121346652,scale,0.04,0.7,0
4,1,0.03907300914716172,scale,0.05,0.7,0
0,1,0.9613095238095238,shift,0.03,0.7,0
1,1,0.9308035714285714,shift,0.03,0.75,0
2,1,0.8236607142857143,shift,0.04,0.7,1
3,1,0.9464285714285714,shift,0.04,0.75,0
4,1,0.9300595238095238,shift,0.05,0.75,0
